Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,height,mouser part number,mouser price/stock,manufacturer_name,manufacturer_part_number
1,,C-Device,C10,47pF,C_0805_2012Metric,1,,5c70984712875079b91f8b38,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C12,100n,C_0805_2012Metric,1,,,,,,,
3,"Unpolarized capacitor, small symbol",C_Small,C3,100n,C_0805_2012Metric,1,,,,,,,
4,,C-Device,C9,100nF,C_0805_2012Metric,1,,5c70984712875079b91f8b4c,,,,,
5,"Unpolarized capacitor, small symbol",C_Small,C11,1u,C_0805_2012Metric,1,,,,,,,
6,"Unpolarized capacitor, small symbol",C_Small,C2,1u,C_0805_2012Metric,1,,,,,,,
7,"Unpolarized capacitor, small symbol",C_Small,C4,1u,C_0805_2012Metric,1,,,,,,,
8,,C-Device,C6,1uF,C_0805_2012Metric,1,,5c70984712875079b91f8b50,,,,,
9,,C-Device,C7,1uF,C_0805_2012Metric,1,,5c70984712875079b91f8b50,,,,,
10,,C-Device,C8,1uF,C_0805_2012Metric,1,,5c70984712875079b91f8b50,,,,,
11,,C-Device,C5,10uF,C_0805_2012Metric,1,,5c70984812875079b91f8bbe,,,,,
12,,CP-Device,C1,1F,CP_Radial_D8.0mm_P3.50mm,1,,5c70984412875079b91f8873,,,,,
13,,LED-Device,D6,GREEN,LED_1206_3216Metric,1,,5c70984412875079b91f8895,,,,,
14,,D-Device,D1,M4,D_SMA,1,,5c70984512875079b91f88ac,,,,,
15,,D-Device,D2,M4,D_SMA,1,,5c70984512875079b91f88ac,,,,,
16,"7V/12V, 600W Asymmetrical TVS Diode Array, SOT-23",SM712_SOT23,D4,SM712_SOT23,SOT-23,1,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sm712_datasheet.pdf.pdf,,,,,,
17,"7V/12V, 600W Asymmetrical TVS Diode Array, SOT-23",SM712_SOT23,D5,SM712_SOT23,SOT-23,1,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sm712_datasheet.pdf.pdf,,,,,,
18,"7V/12V, 600W Asymmetrical TVS Diode Array, SOT-23",SM712_SOT23,D7,SM712_SOT23,SOT-23,1,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sm712_datasheet.pdf.pdf,,,,,,
19,"Schottky diode, small symbol",D_Schottky_Small,D8,SMCJ33A,D_SMC,1,,,,,,,
20,"Fuse, small symbol",Fuse_Small,F1,1A,Fuse_0805_2012Metric,1,,,,,,,
21,"Fuse, small symbol",Fuse_Small,F2,1A,Fuse_0805_2012Metric,1,,,,,,,
22,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J1,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Vertical,1,,,,,,,
23,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J9,HEADER_2x01_PARALLEL,Straight_2x01,1,,,,,,,
24,"RJ connector, 8P8C (8 positions 8 connected), two LEDs, Shielded",RJ45_LED_Shielded,J11,RJ45_LED_Shielded,RJ45_Amphenol_RJHSE538X,1,,,,,,,
25,Raspberry Pi 4 Model B,Raspberry_Pi_4,J10,Raspberry_Pi_4,PinHeader_2x20_P2.54mm_Vertical,1,https://datasheets.raspberrypi.com/rpi4/raspberry-pi-4-datasheet.pdf,,,,,,
26,"small coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial_Small,J8,u.fl,U.FL_Molex_MCRF_73412-0110_Vertical,1,,,,,,,
27,,L-Device,L2,27nH,L_0402_1005Metric,1,LQG15HS27NJ02D,618cbf071287506e2801ed7e,,,,,
28,,L-Device,L1,NL322522T-101K,L_1210_3225Metric,1,,5c70984412875079b91f87fb,,,,,
29,"30 Watt DC/DC converter, industrial, 4:1 input, encpasulated, 1.0"" x 1.0"" metal package",THN_30-2423WI,PS1,THN-30-2415WIR,Converter_DCDC_TRACO_THN30-xxxx_THT,1,https://tracopower.com/thn30wi-datasheet/,,10.4,495-THN30-2415WIR,https://www.mouser.co.uk/ProductDetail/TRACO-Power/THN-30-2423WI?qs=ckJk83FOD0VxUQUqsS4xBQ%3D%3D,Traco Power,THN-30-2415WIR
30,"NPN transistor, base/emitter/collector",Q_NPN_BEC,Q1,BC817-25,SOT-23,1,,5c70984712875079b91f8aea,,,,,
31,"NPN transistor, base/emitter/collector",Q_NPN_BEC,Q2,BC817-25,SOT-23,1,,5c70984712875079b91f8aea,,,,,
32,,R-Device,R15,10R,R_0805_2012Metric,1,,5c70984512875079b91f896d,,,,,
33,,R-Device,R1,22R,R_0805_2012Metric,1,,5c70984512875079b91f896f,,,,,
34,,R-Device,R10,33R,R_0805_2012Metric,1,,5c70984512875079b91f8970,,,,,
35,,R-Device,R16,33R,R_0805_2012Metric,1,,5c70984512875079b91f8970,,,,,
36,,R-Device,R17,33R,R_0805_2012Metric,1,,5c70984512875079b91f8970,,,,,
37,,R-Device,R9,33R,R_0805_2012Metric,1,,5c70984512875079b91f8970,,,,,
38,Resistor,R,R19,220R,R_0805_2012Metric,1,,5c70984512875079b91f897f,,,,,
39,Resistor,R,R20,220R,R_0805_2012Metric,1,,5c70984512875079b91f897f,,,,,
40,Resistor,R,R21,220R,R_0805_2012Metric,1,,5c70984512875079b91f897f,,,,,
41,Resistor,R,R22,220R,R_0805_2012Metric,1,,5c70984512875079b91f897f,,,,,
42,Resistor,R,R23,220R,R_0805_2012Metric,1,,5c70984512875079b91f897f,,,,,
43,Resistor,R,R24,220R,R_0805_2012Metric,1,,5c70984512875079b91f897f,,,,,
44,Resistor,R,R2,1k,R_0805_2012Metric,1,,,,,,,
45,,R-Device,R3,10k,R_0805_2012Metric,1,,,,,,,
46,"Isolated RS485/RS422 Transceiver, Half-Duplex, 500kbps, SOIC-16W",ADM2483xRW,U5,ADM2483xRW,SOIC-16W_7.5x10.3mm_P1.27mm,1,https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf,,,,,,
47,"Isolated RS485/RS422 Transceiver, Half-Duplex, 500kbps, SOIC-16W",ADM2483xRW,U6,ADM2483xRW,SOIC-16W_7.5x10.3mm_P1.27mm,1,https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf,,,,,,
48,"Isolated RS485/RS422 Transceiver, Half-Duplex, 500kbps, SOIC-16W",ADM2483xRW,U7,ADM2483xRW,SOIC-16W_7.5x10.3mm_P1.27mm,1,https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf,,,,,,
49,,MIC5504-3.3YM5-Regulator_Linear,U3,MIC5504-3.3YM5,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2,,,,,
50,,NEO-M8P-RF_GPS,U4,NEO-M9N,ublox_NEO,1,https://www.u-blox.com/sites/default/files/NEO-M8P_DataSheet_%28UBX-15016656%29.pdf,,,,,,
51,,TPSM33606S5QRDNRQ1,U1,TPSM33606S5QRDNRQ1,RDN0011A_TEX,1,https://www.ti.com/lit/gpn/tpsm33606-q1,,,,,,
52,,USBLC6-2SC6-Power_Protection,U2,USBLC6-2SC6,SOT-23-6,1,http://www2.st.com/resource/en/datasheet/CD00050750.pdf,5e82e0691287502a334a778c,,,,,
